Country,Year,Total Suicides
France,1841,2814
France,1842,2866
France,1843,3020
France,1844,2973
France,1845,3082
France,1846,3102
France,1847,3647
France,1848,3301
France,1849,3583
France,1850,3596
France,1851,3598
France,1852,3676
France,1853,3415
France,1854,3700
France,1855,3810
France,1856,4189
France,1857,3967
France,1858,3903
France,1859,3899
France,1860,4050
France,1861,4454
France,1862,4770
France,1863,4613
France,1864,4521
France,1865,4946
France,1866,5119
France,1867,5011
France,1868,5547
France,1869,5114
France,1870,NA
France,1871,NA
France,1872,NA
Prussia,1841,1630
Prussia,1842,1598
Prussia,1843,1720
Prussia,1844,1575
Prussia,1845,1700
Prussia,1846,1707
Prussia,1847,1852
Prussia,1848,1649
Prussia,1849,1527
Prussia,1850,1736
Prussia,1851,1809
Prussia,1852,2073
Prussia,1853,1942
Prussia,1854,2198
Prussia,1855,2351
Prussia,1856,2377
Prussia,1857,2038
Prussia,1858,2126
Prussia,1859,2146
Prussia,1860,2105
Prussia,1861,2185
Prussia,1862,2112
Prussia,1863,2374
Prussia,1864,2203
Prussia,1865,2361
Prussia,1866,2485
Prussia,1867,3625
Prussia,1868,3658
Prussia,1869,3544
Prussia,1870,3270
Prussia,1871,3135
Prussia,1872,3467
England,1841,NA
England,1842,NA
England,1843,NA
England,1844,NA
England,1845,NA
England,1846,NA
England,1847,NA
England,1848,NA
England,1849,NA
England,1850,NA
England,1851,NA
England,1852,NA
England,1853,NA
England,1854,NA
England,1855,NA
England,1856,NA
England,1857,1349
England,1858,1275
England,1859,1248
England,1860,1365
England,1861,1347
England,1862,1317
England,1863,1315
England,1864,1240
England,1865,1392
England,1866,1329
England,1867,1316
England,1868,1508
England,1869,1588
England,1870,1554
England,1871,1495
England,1872,1514
Saxony,1841,290
Saxony,1842,318
Saxony,1843,420
Saxony,1844,335
Saxony,1845,338
Saxony,1846,373
Saxony,1847,377
Saxony,1848,398
Saxony,1849,328
Saxony,1850,390
Saxony,1851,402
Saxony,1852,530
Saxony,1853,431
Saxony,1854,547
Saxony,1855,568
Saxony,1856,550
Saxony,1857,485
Saxony,1858,491
Saxony,1859,507
Saxony,1860,548
Saxony,1861,643
Saxony,1862,557
Saxony,1863,643
Saxony,1864,545
Saxony,1865,619
Saxony,1866,704
Saxony,1867,752
Saxony,1868,800
Saxony,1869,710
Saxony,1870,NA
Saxony,1871,NA
Saxony,1872,NA
Bavaria,1841,NA
Bavaria,1842,NA
Bavaria,1843,NA
Bavaria,1844,244
Bavaria,1845,250
Bavaria,1846,220
Bavaria,1847,217
Bavaria,1848,215
Bavaria,1849,189
Bavaria,1850,250
Bavaria,1851,260
Bavaria,1852,226
Bavaria,1853,263
Bavaria,1854,318
Bavaria,1855,307
Bavaria,1856,318
Bavaria,1857,286
Bavaria,1858,329
Bavaria,1859,387
Bavaria,1860,339
Bavaria,1861,NA
Bavaria,1862,NA
Bavaria,1863,NA
Bavaria,1864,NA
Bavaria,1865,NA
Bavaria,1866,410
Bavaria,1867,471
Bavaria,1868,453
Bavaria,1869,425
Bavaria,1870,NA
Bavaria,1871,NA
Bavaria,1872,NA
Denmark,1841,377
Denmark,1842,317
Denmark,1843,301
Denmark,1844,285
Denmark,1845,290
Denmark,1846,376
Denmark,1847,345
Denmark,1848,305
Denmark,1849,337
Denmark,1850,340
Denmark,1851,401
Denmark,1852,426
Denmark,1853,419
Denmark,1854,363
Denmark,1855,399
Denmark,1856,426
Denmark,1857,427
Denmark,1858,457
Denmark,1859,451
Denmark,1860,468
Denmark,1861,NA
Denmark,1862,NA
Denmark,1863,NA
Denmark,1864,411
Denmark,1865,451
Denmark,1866,443
Denmark,1867,469
Denmark,1868,498
Denmark,1869,462
Denmark,1870,486
Denmark,1871,NA
Denmark,1872,NA
