Country,Year,Period,Period.Criteria,SP100K,SRRA,ASP,MP1K,AMP1K,MRRA
France,1841,1,1841 to 1846,8.2,96,8.5,23.2,22.8,101.7
France,1842,1,1841 to 1846,8.3,97,8.5,24,22.8,105.2
France,1843,1,1841 to 1846,8.7,102,8.5,23.1,22.8,101.3
France,1844,1,1841 to 1846,8.5,100,8.5,22.1,22.8,96.9
France,1845,1,1841 to 1846,8.8,103.5,8.5,21.2,22.8,92.9
France,1846,1,1841 to 1846,8.7,102.3,8.5,23.2,22.8,101.7
France,1847,,,,,,,,
France,1848,,,,,,,,
France,1849,2,1849 to 1855,10,98.9,10.1,27.3,24.1,113.2
France,1850,2,1849 to 1855,10.1,100,10.1,21.4,24.1,88.7
France,1851,2,1849 to 1855,10,98.9,10.1,22.3,24.1,92.5
France,1852,2,1849 to 1855,10.5,103.8,10.1,22.5,24.1,93.3
France,1853,2,1849 to 1855,9.4,93,10.1,22,24.1,91.2
France,1854,2,1849 to 1855,10.2,100.9,10.1,27.4,24.1,113.6
France,1855,2,1849 to 1855,10.5,103,10.1,25.9,24.1,107.4
France,1856,3,1856 to 1860,11.6,103.5,11.2,23.1,23.8,97
France,1857,3,1856 to 1860,10.9,97.3,11.2,23.7,23.8,99.3
France,1858,3,1856 to 1860,10.7,95.5,11.2,24.1,23.8,101.2
France,1859,3,1856 to 1860,11.1,99.1,11.2,26.8,23.8,112.6
France,1860,3,1856 to 1860,11.9,106,11.2,21.4,23.8,89.9
