Country,Province,Group ID,Categorization,Prop.German,SP1M
Germany,Lower Austria,1,Purely German,95.9,254
Germany,Upper Austria,1,Purely German,100,110
Germany,Salzburg,1,Purely German,100,120
Germany,Transalpine Tyrol,1,Purely German,100,88
Germany,Carinthia,2,Majority German,71.4,92
Germany,Styria,2,Majority German,62.45,94
Germany,Silesia,2,Majority German,53.37,190
Germany,Bohemia,3,Important German Minority,37.64,158
Germany,Moravia,3,Important German Minority,26.33,136
Germany,Bukovina,3,Important German Minority,9.06,128
Germany,Galicia,4,Small German Minority,2.72,82
Germany,Cisalpine Tyrol,4,Small German Minority,1.9,88
Germany,Littoral,4,Small German Minority,1.62,38
Germany,Carniola,4,Small German Minority,6.2,46
Germany,Dalmatia,4,Small German Minority,NA,14
