Country,Month,Minutes.of.Daylight,CIDOPM,SP1K,CISOPM,
France,January,559,13.85%,68,11.48%,
France,February,656,17.35%,80,17.65%,
France,March,767,16.92%,86,7.50%,
France,April,869,13.30%,102,18.60%,
France,May,948,9.09%,105,2.94%,
France,June,963,1.58%,107,1.90%,
France,July,904,-6.13%,100,-6.54%,
France,August,805,-10.95%,82,-18.00%,
France,September,699,-13.17%,74,-9.76%,
France,October,591,-15.45%,70,-5.41%,
France,November,511,-13.54%,66,-5.71%,
France,December,491,-3.91%,61,-7.58%,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,, 
