Country,Province,Category,PMHWL,SP1M,Period.Collected.HWL,Period.Collected.S
Italy,Piedmont,1,53.09,35.6,1872-78,1864-76
Italy,Lombardy,1,44.29,40.4,1872-78,1864-76
Italy,Liguria,1,41.15,47.3,1872-78,1864-76
Italy,Rome,1,32.61,41.7,1872-78,1864-76
Italy,Tuscany,1,24.33,40.6,1872-78,1864-76
Italy,Venice,2,19.56,32,1872-78,1864-76
Italy,Emilia,2,19.31,62.9,1872-78,1864-76
Italy,Umbria,2,15.46,30.7,1872-78,1864-76
Italy,Marches,2,14.46,34.6,1872-78,1864-76
Italy,Campania,2,12.45,21.6,1872-78,1864-76
Italy,Sardinia,2,10.14,13.3,1872-78,1864-76
Italy,Sicily,3,8.98,18.5,1872-78,1864-76
Italy,Abruzri,3,6.35,15.7,1872-78,1864-76
Italy,Apulia,3,6.81,16.3,1872-78,1864-76
Italy,Calabria,3,4.67,8.1,1872-78,1864-76
Italy,Basilicota,3,4.35,15,1872-78,1864-76
