Location,Sex,Age Category,Marital Status,SP100K,Comparison,Comparison.Coefficient
Oldenburg,Male,0 to 20,Unmarried,7.2,Married,106.8333333333
Oldenburg,Male,20 to 30,Unmarried,70.6,Married,0.6940509915
Oldenburg,Male,30 to 40,Unmarried,130.4,Married,0.5644171779
Oldenburg,Male,40 to 50,Unmarried,188.8,Married,0.5031779661
Oldenburg,Male,50 to 60,Unmarried,263.6,Married,0.5227617602
Oldenburg,Male,60 to 70,Unmarried,242.8,Married,0.6107907743
Oldenburg,Male,Above 70,Unmarried,266.6,Married,0.4283570893
Oldenburg,Male,0 to 20,Married,769.2,Unmarried,0.0936037441
Oldenburg,Male,20 to 30,Married,49,Unmarried,1.4408163265
Oldenburg,Male,30 to 40,Married,73.6,Unmarried,1.7717391304
Oldenburg,Male,40 to 50,Married,95,Unmarried,1.9873684211
Oldenburg,Male,50 to 60,Married,137.8,Unmarried,1.9129172714
Oldenburg,Male,60 to 70,Married,148.3,Unmarried,1.6372218476
Oldenburg,Male,Above 70,Married,114.2,Unmarried,2.3345008757
Oldenburg,Male,0 to 20,Widowed,NA,Married,NA
Oldenburg,Male,20 to 30,Widowed,285.7,Married,0.2471123556
Oldenburg,Male,30 to 40,Widowed,76.9,Married,1.6957087126
Oldenburg,Male,40 to 50,Widowed,285.7,Married,0.6608330417
Oldenburg,Male,50 to 60,Widowed,271.4,Married,0.9712601326
Oldenburg,Male,60 to 70,Widowed,304.7,Married,0.79684936
Oldenburg,Male,Above 70,Widowed,259,Married,1.0293436293
Oldenburg,Female,0 to 20,Unmarried,3.9,Married,24.4102564103
Oldenburg,Female,20 to 30,Unmarried,39,Married,0.4461538462
Oldenburg,Female,30 to 40,Unmarried,32.3,Married,0.520123839
Oldenburg,Female,40 to 50,Unmarried,52.9,Married,0.3516068053
Oldenburg,Female,50 to 60,Unmarried,66.6,Married,0.466966967
Oldenburg,Female,60 to 70,Unmarried,62.5,Married,0.5952
Oldenburg,Female,Above 70,Unmarried,NA,Married,NA
Oldenburg,Female,0 to 20,Married,95.2,Unmarried,0.0409663866
Oldenburg,Female,20 to 30,Married,17.4,Unmarried,2.2413793103
Oldenburg,Female,30 to 40,Married,16.8,Unmarried,1.9226190476
Oldenburg,Female,40 to 50,Married,18.6,Unmarried,2.8440860215
Oldenburg,Female,50 to 60,Married,31.1,Unmarried,2.1414790997
Oldenburg,Female,60 to 70,Married,37.2,Unmarried,1.6801075269
Oldenburg,Female,Above 70,Married,120,Unmarried,NA
Oldenburg,Female,0 to 20,Widowed,NA,Married,NA
Oldenburg,Female,20 to 30,Widowed,NA,Married,NA
Oldenburg,Female,30 to 40,Widowed,30,Married,0.56
Oldenburg,Female,40 to 50,Widowed,68.1,Married,0.2731277533
Oldenburg,Female,50 to 60,Widowed,50,Married,0.622
Oldenburg,Female,60 to 70,Widowed,55.8,Married,0.6666666667
Oldenburg,Female,Above 70,Widowed,91.4,Married,1.3129102845
Oldenburg,Male,0 to 20,Unmarried,7.2,Widowed,NA
Oldenburg,Male,20 to 30,Unmarried,70.6,Widowed,4.0467422096
Oldenburg,Male,30 to 40,Unmarried,130.4,Widowed,0.5897239264
Oldenburg,Male,40 to 50,Unmarried,188.8,Widowed,1.5132415254
Oldenburg,Male,50 to 60,Unmarried,263.6,Widowed,1.0295902883
Oldenburg,Male,60 to 70,Unmarried,242.8,Widowed,1.2549423394
Oldenburg,Male,Above 70,Unmarried,266.6,Widowed,0.9714928732
Oldenburg,Male,0 to 20,Married,769.2,Widowed,NA
Oldenburg,Male,20 to 30,Married,49,Widowed,5.8306122449
Oldenburg,Male,30 to 40,Married,73.6,Widowed,1.0448369565
Oldenburg,Male,40 to 50,Married,95,Widowed,3.0073684211
Oldenburg,Male,50 to 60,Married,137.8,Widowed,1.969521045
Oldenburg,Male,60 to 70,Married,148.3,Widowed,2.0546190155
Oldenburg,Male,Above 70,Married,114.2,Widowed,2.2679509632
Oldenburg,Male,0 to 20,Widowed,NA,Unmarried,NA
Oldenburg,Male,20 to 30,Widowed,285.7,Unmarried,0.2471123556
Oldenburg,Male,30 to 40,Widowed,76.9,Unmarried,1.6957087126
Oldenburg,Male,40 to 50,Widowed,285.7,Unmarried,0.6608330417
Oldenburg,Male,50 to 60,Widowed,271.4,Unmarried,0.9712601326
Oldenburg,Male,60 to 70,Widowed,304.7,Unmarried,0.79684936
Oldenburg,Male,Above 70,Widowed,259,Unmarried,1.0293436293
Oldenburg,Female,0 to 20,Unmarried,3.9,Widowed,NA
Oldenburg,Female,20 to 30,Unmarried,39,Widowed,NA
Oldenburg,Female,30 to 40,Unmarried,32.3,Widowed,0.9287925697
Oldenburg,Female,40 to 50,Unmarried,52.9,Widowed,1.2873345936
Oldenburg,Female,50 to 60,Unmarried,66.6,Widowed,0.7507507508
Oldenburg,Female,60 to 70,Unmarried,62.5,Widowed,0.8928
Oldenburg,Female,Above 70,Unmarried,NA,Widowed,NA
Oldenburg,Female,0 to 20,Married,95.2,Widowed,NA
Oldenburg,Female,20 to 30,Married,17.4,Widowed,NA
Oldenburg,Female,30 to 40,Married,16.8,Widowed,1.7857142857
Oldenburg,Female,40 to 50,Married,18.6,Widowed,3.6612903226
Oldenburg,Female,50 to 60,Married,31.1,Widowed,1.6077170418
Oldenburg,Female,60 to 70,Married,37.2,Widowed,1.5
Oldenburg,Female,Above 70,Married,120,Widowed,0.7616666667
Oldenburg,Female,0 to 20,Widowed,NA,Unmarried,NA
Oldenburg,Female,20 to 30,Widowed,NA,Unmarried,NA
Oldenburg,Female,30 to 40,Widowed,30,Unmarried,1.0766666667
Oldenburg,Female,40 to 50,Widowed,68.1,Unmarried,0.7767988253
Oldenburg,Female,50 to 60,Widowed,50,Unmarried,1.332
Oldenburg,Female,60 to 70,Widowed,55.8,Unmarried,1.1200716846
Oldenburg,Female,Above 70,Widowed,91.4,Unmarried,NA
