Country,Age Category,Marital Status,Gender,PSS100
France,20 to 25,Married,Male,65
France,25 to 30,Married,Male,65
France,30 to 40,Married,Male,74
France,40 to 50,Married,Male,77
France,50 to 60,Married,Male,78
France,60 to 70,Married,Male,81
France,70 to 80,Married,Male,78
France,Above 80,Married,Male,88
France,20 to 25,Unmarried,Male,70
France,25 to 30,Unmarried,Male,73
France,30 to 40,Unmarried,Male,84
France,40 to 50,Unmarried,Male,86
France,50 to 60,Unmarried,Male,88
France,60 to 70,Unmarried,Male,91
France,70 to 80,Unmarried,Male,91
France,Above 80,Unmarried,Male,90
France,20 to 25,Married,Female,35
France,25 to 30,Married,Female,35
France,30 to 40,Married,Female,26
France,40 to 50,Married,Female,23
France,50 to 60,Married,Female,22
France,60 to 70,Married,Female,19
France,70 to 80,Married,Female,22
France,Above 80,Married,Female,12
France,20 to 25,Unmarried,Female,30
France,25 to 30,Unmarried,Female,27
France,30 to 40,Unmarried,Female,16
France,40 to 50,Unmarried,Female,14
France,50 to 60,Unmarried,Female,12
France,60 to 70,Unmarried,Female,9
France,70 to 80,Unmarried,Female,9
France,Above 80,Unmarried,Female,10
,,,, 
