Country,Location,Sex,Marital Status,Age Category,SP1M
France,Provinces,Male,Unmarried,15 to 20,100
France,Provinces,Male,Unmarried,20 to 25,214
France,Provinces,Male,Unmarried,25 to 30,365
France,Provinces,Male,Unmarried,30 to 40,590
France,Provinces,Male,Unmarried,40 to 50,976
France,Provinces,Male,Unmarried,50 to 60,1445
France,Provinces,Male,Unmarried,60 to 70,1790
France,Provinces,Male,Unmarried,70 to 80,2000
France,Provinces,Male,Unmarried,Above 80,1458
France,Provinces,Male,Unmarried,15 to 20,100
France,Provinces,Male,Unmarried,20 to 25,214
France,Provinces,Male,Unmarried,25 to 30,365
France,Provinces,Male,Unmarried,30 to 40,590
France,Provinces,Male,Unmarried,40 to 50,976
France,Provinces,Male,Unmarried,50 to 60,1445
France,Provinces,Male,Unmarried,60 to 70,1790
France,Provinces,Male,Unmarried,70 to 80,2000
France,Provinces,Male,Unmarried,Above 80,1458
France,Provinces,Male,Married,15 to 20,400
France,Provinces,Male,Married,20 to 25,95
France,Provinces,Male,Married,25 to 30,103
France,Provinces,Male,Married,30 to 40,202
France,Provinces,Male,Married,40 to 50,295
France,Provinces,Male,Married,50 to 60,470
France,Provinces,Male,Married,60 to 70,582
France,Provinces,Male,Married,70 to 80,664
France,Provinces,Male,Married,Above 80,762
France,Provinces,Male,Married,15 to 20,400
France,Provinces,Male,Married,20 to 25,95
France,Provinces,Male,Married,25 to 30,103
France,Provinces,Male,Married,30 to 40,202
France,Provinces,Male,Married,40 to 50,295
France,Provinces,Male,Married,50 to 60,470
France,Provinces,Male,Married,60 to 70,582
France,Provinces,Male,Married,70 to 80,664
France,Provinces,Male,Married,Above 80,762
France,Provinces,Male,Widowers,15 to 20,NA
France,Provinces,Male,Widowers,20 to 25,153
France,Provinces,Male,Widowers,25 to 30,373
France,Provinces,Male,Widowers,30 to 40,511
France,Provinces,Male,Widowers,40 to 50,633
France,Provinces,Male,Widowers,50 to 60,852
France,Provinces,Male,Widowers,60 to 70,1047
France,Provinces,Male,Widowers,70 to 80,1252
France,Provinces,Male,Widowers,Above 80,1129
France,Provinces,Male,Widowers,15 to 20,NA
France,Provinces,Male,Widowers,20 to 25,153
France,Provinces,Male,Widowers,25 to 30,373
France,Provinces,Male,Widowers,30 to 40,511
France,Provinces,Male,Widowers,40 to 50,633
France,Provinces,Male,Widowers,50 to 60,852
France,Provinces,Male,Widowers,60 to 70,1047
France,Provinces,Male,Widowers,70 to 80,1252
France,Provinces,Male,Widowers,Above 80,1129
France,Provinces,Female,Unmarried,15 to 20,67
France,Provinces,Female,Unmarried,20 to 25,95
France,Provinces,Female,Unmarried,25 to 30,122
France,Provinces,Female,Unmarried,30 to 40,101
France,Provinces,Female,Unmarried,40 to 50,147
France,Provinces,Female,Unmarried,50 to 60,178
France,Provinces,Female,Unmarried,60 to 70,163
France,Provinces,Female,Unmarried,70 to 80,200
France,Provinces,Female,Unmarried,Above 80,160
