Country,Month,Year,Event,Crisis.Year,Crisis.Month,CIS,SP1M
France,May,1876,Parliamentary Crisis,No,Yes,0,604
France,June,1876,Parliamentary Crisis,No,Yes,0,662
France,July,1876,Parliamentary Crisis,No,Yes,0,625
France,August,1876,Parliamentary Crisis,No,Yes,0,482
France,September,1876,Parliamentary Crisis,No,Yes,0,394
France,October,1876,Parliamentary Crisis,No,Yes,0,464
France,November,1876,Parliamentary Crisis,No,No,0,400
France,December,1876,Parliamentary Crisis,No,No,0,389
France,May,1877,Parliamentary Crisis,Yes,Yes,4,649
France,June,1877,Parliamentary Crisis,Yes,Yes,4,692
France,July,1877,Parliamentary Crisis,Yes,Yes,5,540
France,August,1877,Parliamentary Crisis,Yes,Yes,4,496
France,September,1877,Parliamentary Crisis,Yes,Yes,2,378
France,October,1877,Parliamentary Crisis,Yes,Yes,2,423
France,November,1877,Parliamentary Crisis,Yes,No,0,413
France,December,1877,Parliamentary Crisis,Yes,No,0,386
France,May,1878,Parliamentary Crisis,No,Yes,0,717
France,June,1878,Parliamentary Crisis,No,Yes,0,682
France,July,1878,Parliamentary Crisis,No,Yes,0,693
France,August,1878,Parliamentary Crisis,No,Yes,0,547
France,September,1878,Parliamentary Crisis,No,Yes,0,512
France,October,1878,Parliamentary Crisis,No,Yes,0,468
France,November,1878,Parliamentary Crisis,No,No,0,415
France,December,1878,Parliamentary Crisis,No,No,0,335
France,May,1888,Boulanger Agitation,No,No,0,924
France,June,1888,Boulanger Agitation,No,No,0,851
France,July,1888,Boulanger Agitation,No,No,0,825
France,August,1888,Boulanger Agitation,No,Yes,0,786
France,September,1888,Boulanger Agitation,No,Yes,0,673
France,October,1888,Boulanger Agitation,No,No,0,603
France,November,1888,Boulanger Agitation,No,No,0,589
France,December,1888,Boulanger Agitation,No,No,0,574
France,May,1889,Boulanger Agitation,Yes,No,0,919
France,June,1889,Boulanger Agitation,Yes,No,0,829
France,July,1889,Boulanger Agitation,Yes,No,0,818
France,August,1889,Boulanger Agitation,Yes,Yes,5,694
France,September,1889,Boulanger Agitation,Yes,Yes,4,597
France,October,1889,Boulanger Agitation,Yes,No,0,648
France,November,1889,Boulanger Agitation,Yes,No,0,618
France,December,1889,Boulanger Agitation,Yes,No,0,482
France,May,1890,Boulanger Agitation,No,No,0,819
France,June,1890,Boulanger Agitation,No,No,0,822
France,July,1890,Boulanger Agitation,No,No,0,888
France,August,1890,Boulanger Agitation,No,Yes,0,734
France,September,1890,Boulanger Agitation,No,Yes,0,720
France,October,1890,Boulanger Agitation,No,No,0,675
France,November,1890,Boulanger Agitation,No,No,0,571
France,December,1890,Boulanger Agitation,No,No,0,475
