Country,Period,Divorce,ADP100M,SP1M
Norway,1875-80,Rare,0.54,73
Russia,1871-77,Rare,1.6,30
England and Wales,1871-79,Rare,1.3,68
Scotland,1871-81,Rare,2.1,NA
Italy,1871-73,Rare,3.05,31
Finland,1875-79,Rare,3.9,30.8
Bavaria,1881,Average,5,90.5
Belgium,1871-80,Average,5.1,68.5
Holland,1871-80,Average,6,35.5
Sweden,1871-80,Average,6.4,81
Baden,1874-79,Average,6.5,156.6
France,1871-79,Average,7.5,150
Wurttemberg,1876-78,Average,8.4,162.4
Prussia,NA,Average,NA,133
Kingdom of Saxony,1876-80,Frequent,26.9,299
Denmark,1871-80,Frequent,38,258
Switzerland,1876-80,Frequent,47,216
 ,,,,
