Country,Period,Marital.Status,Age.Category,Sex,SP1M
Prussia,1887-1889,Unmarried,Above 15,Male,360
Prussia,1883-1890,Unmarried,Above 15,Male,388
Baden,1885-1893,Unmarried,Above 15,Male,458
Saxony,1846-1858,Unmarried,Above 15,Male,NA
Saxony,1876,Unmarried,Above 15,Combined,555.18
Wurttemberg,1846-1860,Unmarried,Above 15,Male,NA
Wurttemberg,1873-1892,Unmarried,Above 15,Male,251
Prussia,1887-1889,Unmarried,Above 15,Female,120
Prussia,1883-1890,Unmarried,Above 15,Female,129
Baden,1885-1893,Unmarried,Above 15,Female,93
Saxony,1846-1858,Unmarried,Above 15,Female,NA
Saxony,1876,Unmarried,Above 15,Female,NA
Wurttemberg,1846-1860,Unmarried,Above 15,Female,NA
Wurttemberg,1873-1892,Unmarried,Above 15,Female,NA
Prussia,1887-1889,Married,Above 15,Male,430
Prussia,1883-1890,Married,Above 15,Male,498
Baden,1885-1893,Married,Above 15,Male,460
Saxony,1846-1858,Married,Above 15,Male,481
Saxony,1876,Married,Above 15,Male,821
Wurttemberg,1846-1860,Married,Above 15,Male,226
Wurttemberg,1873-1892,Married,Above 15,Combined,218
Prussia,1887-1889,Married,Above 15,Female,90
Prussia,1883-1890,Married,Above 15,Female,100
Baden,1885-1893,Married,Above 15,Female,85
Saxony,1846-1858,Married,Above 15,Female,120
Saxony,1876,Married,Above 15,Female,146
Wurttemberg,1846-1860,Married,Above 15,Female,52
Wurttemberg,1873-1892,Married,Above 15,Female,NA
Prussia,1887-1889,Widowed,Above 15,Male,1471
Prussia,1883-1890,Widowed,Above 15,Male,1552
Baden,1885-1893,Widowed,Above 15,Male,1172
Saxony,1846-1858,Widowed,Above 15,Male,1242
Saxony,1876,Widowed,Above 15,Male,NA
Wurttemberg,1846-1860,Widowed,Above 15,Male,530
Wurttemberg,1873-1892,Widowed,Above 15,Combined,405
Prussia,1887-1889,Widowed,Above 15,Female,215
Prussia,1883-1890,Widowed,Above 15,Female,194
Baden,1885-1893,Widowed,Above 15,Female,171
Saxony,1846-1858,Widowed,Above 15,Female,240
Saxony,1876,Widowed,Above 15,Female,NA
Wurttemberg,1846-1860,Widowed,Above 15,Female,97
Wurttemberg,1873-1892,Widowed,Above 15,Female,NA
Prussia,1887-1889,Divorced,Above 15,Male,1875
Prussia,1883-1890,Divorced,Above 15,Male,1952
Baden,1885-1893,Divorced,Above 15,Male,1328
Saxony,1846-1858,Divorced,Above 15,Male,3102
Saxony,1876,Divorced,Above 15,Male,3252
Wurttemberg,1846-1860,Divorced,Above 15,Male,1298
Wurttemberg,1873-1892,Divorced,Above 15,Combined,796
Prussia,1887-1889,Divorced,Above 15,Female,290
Prussia,1883-1890,Divorced,Above 15,Female,328
Baden,1885-1893,Divorced,Above 15,Female,NA
Saxony,1846-1858,Divorced,Above 15,Female,312
Saxony,1876,Divorced,Above 15,Female,389
Wurttemberg,1846-1860,Divorced,Above 15,Female,281
Wurttemberg,1873-1892,Divorced,Above 15,Female,NA
