Country,Year,Age.Category,Sex,SP100K,Murder.Type,MP100K
France,1887,16 to 21,Male,14,Premeditated,8
France,1887,21 to 25,Male,23,Premeditated,14.9
France,1887,25 to 30,Male,30,Premeditated,15.4
France,1887,30 to 40,Male,33,Premeditated,15.9
France,1887,40 to 50,Male,50,Premeditated,11
France,1887,50 to 60,Male,69,Premeditated,6.5
France,1887,Above 60,Male,91,Premeditated,2.5
France,1887,16 to 21,Male,14,Unplanned,6.2
France,1887,21 to 25,Male,23,Unplanned,9.7
France,1887,25 to 30,Male,30,Unplanned,15.4
France,1887,30 to 40,Male,33,Unplanned,11
France,1887,40 to 50,Male,50,Unplanned,6.9
France,1887,50 to 60,Male,69,Unplanned,2
France,1887,Above 60,Male,91,Unplanned,2.3
France,1887,16 to 21,Female,9,Premeditated,8
France,1887,21 to 25,Female,9,Premeditated,14.9
France,1887,25 to 30,Female,9,Premeditated,15.4
France,1887,30 to 40,Female,9,Premeditated,15.9
France,1887,40 to 50,Female,12,Premeditated,11
France,1887,50 to 60,Female,17,Premeditated,6.5
France,1887,Above 60,Female,20,Premeditated,2.5
France,1887,16 to 21,Female,9,Unplanned,6.2
France,1887,21 to 25,Female,9,Unplanned,9.7
France,1887,25 to 30,Female,9,Unplanned,15.4
France,1887,30 to 40,Female,9,Unplanned,11
France,1887,40 to 50,Female,12,Unplanned,6.9
France,1887,50 to 60,Female,17,Unplanned,2
France,1887,Above 60,Female,20,Unplanned,2.3
