Country,Period,Month,Homicide.Type,Avg.Homicides
France,1827-1870,January,Premeditated,829
France,1827-1870,February,Premeditated,926
France,1827-1870,March,Premeditated,766
France,1827-1870,April,Premeditated,712
France,1827-1870,May,Premeditated,809
France,1827-1870,June,Premeditated,853
France,1827-1870,July,Premeditated,776
France,1827-1870,August,Premeditated,849
France,1827-1870,September,Premeditated,839
France,1827-1870,October,Premeditated,815
France,1827-1870,November,Premeditated,942
France,1827-1870,December,Premeditated,866
France,1827-1870,January,Unplanned,560
France,1827-1870,February,Unplanned,664
France,1827-1870,March,Unplanned,600
France,1827-1870,April,Unplanned,574
France,1827-1870,May,Unplanned,587
France,1827-1870,June,Unplanned,644
France,1827-1870,July,Unplanned,614
France,1827-1870,August,Unplanned,716
France,1827-1870,September,Unplanned,665
France,1827-1870,October,Unplanned,653
France,1827-1870,November,Unplanned,650
France,1827-1870,December,Unplanned,591
France,1827-1870,January,Infanticides,647
France,1827-1870,February,Infanticides,750
France,1827-1870,March,Infanticides,783
France,1827-1870,April,Infanticides,662
France,1827-1870,May,Infanticides,666
France,1827-1870,June,Infanticides,552
France,1827-1870,July,Infanticides,491
France,1827-1870,August,Infanticides,501
France,1827-1870,September,Infanticides,495
France,1827-1870,October,Infanticides,478
France,1827-1870,November,Infanticides,497
France,1827-1870,December,Infanticides,542
France,1827-1870,January,Manslaughter,830
France,1827-1870,February,Manslaughter,937
France,1827-1870,March,Manslaughter,840
France,1827-1870,April,Manslaughter,867
France,1827-1870,May,Manslaughter,983
France,1827-1870,June,Manslaughter,938
France,1827-1870,July,Manslaughter,919
France,1827-1870,August,Manslaughter,997
France,1827-1870,September,Manslaughter,993
France,1827-1870,October,Manslaughter,892
France,1827-1870,November,Manslaughter,960
France,1827-1870,December,Manslaughter,886
