Country,Period,Period.Start,Period.End,SP1M,Rank,,,,
Italy,1,1866,1870,30,1,,,,
Italy,2,1871,1875,35,1,,,,
Italy,3,1874,1878,38,1,,,,
Belgium,1,1866,1870,66,2,,,,
Belgium,2,1871,1875,69,3,,,,
Belgium,3,1874,1878,78,4,,,,
England,1,1866,1870,67,3,,,,
England,2,1871,1875,66,2,,,,
England,3,1874,1878,69,2,,,,
Norway,1,1866,1870,76,4,,,,
Norway,2,1871,1875,73,4,,,,
Norway,3,1874,1878,71,3,,,,
Austria,1,1866,1870,78,5,,,,
Austria,2,1871,1875,94,7,,,,
Austria,3,1874,1878,130,7,,,,
Sweden,1,1866,1870,85,6, , , , 
Sweden,2,1871,1875,81,5,,,,
Sweden,3,1874,1878,91,5,,,,
Bavaria,1,1866,1870,90,7,,,,
Bavaria,2,1871,1875,91,6,,,,
Bavaria,3,1874,1878,100,6,,,,
France,1,1866,1870,135,8,,,,
France,2,1871,1875,150,9,,,,
France,3,1874,1878,160,9,,,,
Prussia,1,1866,1870,142,9,,,,
Prussia,2,1871,1875,134,8,,,,
Prussia,3,1874,1878,152,8,,,,
Denmark,1,1866,1870,277,10,,,,
Denmark,2,1871,1875,258,10,,,,
Denmark,3,1874,1878,255,10,,,,
Saxony,1,1866,1870,293,11,,,,
Saxony,2,1871,1875,267,11,,,,
Saxony,3,1874,1878,334,11,,,,
