Country,Source,Period Start,Period End,Age.Category,AgeID,Sex,SP1M
France,Morselli,1835,1844,Below 16,1,Male,2.2
France,Morselli,1835,1844,16 to 20,2,Male,56.5
France,Morselli,1835,1844,20 to 30,3,Male,130.5
France,Morselli,1835,1844,30 to 40,4,Male,155.6
France,Morselli,1835,1844,40 to 50,5,Male,204.7
France,Morselli,1835,1844,50 to 60,6,Male,217.9
France,Morselli,1835,1844,60 to 70,7,Male,274.2
France,Morselli,1835,1844,70 to 80,8,Male,317.3
France,Morselli,1835,1844,Above 80,9,Male,345.1
France,Morselli,1835,1844,Below 16,1,Female,1.2
France,Morselli,1835,1844,16 to 20,2,Female,31.7
France,Morselli,1835,1844,20 to 30,3,Female,44.5
France,Morselli,1835,1844,30 to 40,4,Female,44
France,Morselli,1835,1844,40 to 50,5,Female,64.7
France,Morselli,1835,1844,50 to 60,6,Female,74.8
France,Morselli,1835,1844,60 to 70,7,Female,83.7
France,Morselli,1835,1844,70 to 80,8,Female,91.8
France,Morselli,1835,1844,Above 80,9,Female,81.4
Prussia,Morselli,1873,1875,Below 16,1,Male,10.5
Prussia,Morselli,1873,1875,16 to 20,2,Male,122
Prussia,Morselli,1873,1875,20 to 30,3,Male,231.1
Prussia,Morselli,1873,1875,30 to 40,4,Male,235.1
Prussia,Morselli,1873,1875,40 to 50,5,Male,347
Prussia,Morselli,1873,1875,50 to 60,6,Male,NA
Prussia,Morselli,1873,1875,60 to 70,7,Male,NA
Prussia,Morselli,1873,1875,70 to 80,8,Male,529
Prussia,Morselli,1873,1875,Above 80,9,Male,NA
Prussia,Morselli,1873,1875,Below 16,1,Female,3.2
Prussia,Morselli,1873,1875,16 to 20,2,Female,50.3
Prussia,Morselli,1873,1875,20 to 30,3,Female,60.8
Prussia,Morselli,1873,1875,30 to 40,4,Female,55.6
Prussia,Morselli,1873,1875,40 to 50,5,Female,61.6
Prussia,Morselli,1873,1875,50 to 60,6,Female,NA
Prussia,Morselli,1873,1875,60 to 70,7,Female,NA
Prussia,Morselli,1873,1875,70 to 80,8,Female,113.9
Prussia,Morselli,1873,1875,Above 80,9,Female,NA
Saxony,Morselli,1847,1858,Below 16,1,Male,9.6
Saxony,Morselli,1847,1858,16 to 20,2,Male,210
Saxony,Morselli,1847,1858,20 to 30,3,Male,396
Saxony,Morselli,1847,1858,30 to 40,4,Male,NA
Saxony,Morselli,1847,1858,40 to 50,5,Male,551
Saxony,Morselli,1847,1858,50 to 60,6,Male,NA
Saxony,Morselli,1847,1858,60 to 70,7,Male,906
Saxony,Morselli,1847,1858,70 to 80,8,Male,NA
Saxony,Morselli,1847,1858,Above 80,9,Male,917
Saxony,Morselli,1847,1858,Below 16,1,Female,2.4
Saxony,Morselli,1847,1858,16 to 20,2,Female,85
Saxony,Morselli,1847,1858,20 to 30,3,Female,108
Saxony,Morselli,1847,1858,30 to 40,4,Female,NA
Saxony,Morselli,1847,1858,40 to 50,5,Female,126
Saxony,Morselli,1847,1858,50 to 60,6,Female,NA
Saxony,Morselli,1847,1858,60 to 70,7,Female,207
Saxony,Morselli,1847,1858,70 to 80,8,Female,NA
Saxony,Morselli,1847,1858,Above 80,9,Female,297
Italy,Morselli,1872,1876,Below 16,1,Male,3.2
Italy,Morselli,1872,1876,16 to 20,2,Male,32.3
Italy,Morselli,1872,1876,20 to 30,3,Male,77
Italy,Morselli,1872,1876,30 to 40,4,Male,72.3
Italy,Morselli,1872,1876,40 to 50,5,Male,102.3
Italy,Morselli,1872,1876,50 to 60,6,Male,140
Italy,Morselli,1872,1876,60 to 70,7,Male,147.8
Italy,Morselli,1872,1876,70 to 80,8,Male,124.3
Italy,Morselli,1872,1876,Above 80,9,Male,103.8
Italy,Morselli,1872,1876,Below 16,1,Female,1
Italy,Morselli,1872,1876,16 to 20,2,Female,12.2
Italy,Morselli,1872,1876,20 to 30,3,Female,18.9
Italy,Morselli,1872,1876,30 to 40,4,Female,19.6
Italy,Morselli,1872,1876,40 to 50,5,Female,26
Italy,Morselli,1872,1876,50 to 60,6,Female,32
Italy,Morselli,1872,1876,60 to 70,7,Female,34.5
Italy,Morselli,1872,1876,70 to 80,8,Female,29.1
Italy,Morselli,1872,1876,Above 80,9,Female,33.8
Denmark,Morselli,1845,1856,Below 16,1,Combined,113
Denmark,Morselli,1845,1856,16 to 20,2,Combined,272
Denmark,Morselli,1845,1856,20 to 30,3,Combined,307
Denmark,Morselli,1845,1856,30 to 40,4,Combined,426
Denmark,Morselli,1845,1856,40 to 50,5,Combined,576
Denmark,Morselli,1845,1856,50 to 60,6,Combined,702
Denmark,Morselli,1845,1856,60 to 70,7,Combined,NA
Denmark,Morselli,1845,1856,70 to 80,8,Combined,785
Denmark,Morselli,1845,1856,Above 80,9,Combined,642
