Country,Season,Period,Period Start,Period End,SP1K
Denmark,Summer,1858-65,1858,1865,312
Denmark,Spring,1858-65,1858,1865,284
Denmark,Autumn,1858-65,1858,1865,227
Denmark,Winter,1858-65,1858,1865,177
Belgium,Summer,1841-49,1841,1849,301
Belgium,Spring,1841-49,1841,1849,275
Belgium,Autumn,1841-49,1841,1849,229
Belgium,Winter,1841-49,1841,1849,195
France,Summer,1835-43,1835,1843,306
France,Spring,1835-43,1835,1843,283
France,Autumn,1835-43,1835,1843,210
France,Winter,1835-43,1835,1843,201
Saxony,Summer,1847-58,1847,1858,308
Saxony,Spring,1847-58,1847,1858,282
Saxony,Autumn,1847-58,1847,1858,218
Saxony,Winter,1847-58,1847,1858,192
Bavaria,Summer,1858-65,1858,1865,308
Bavaria,Spring,1858-65,1858,1865,282
Bavaria,Autumn,1858-65,1858,1865,218
Bavaria,Winter,1858-65,1858,1865,192
Austria,Summer,1858-59,1858,1859,315
Austria,Spring,1858-59,1858,1859,281
Austria,Autumn,1858-59,1858,1859,219
Austria,Winter,1858-59,1858,1859,185
Prussia,Summer,1869-72,1869,1872,290
Prussia,Spring,1869-72,1869,1872,284
Prussia,Autumn,1869-72,1869,1872,227
Prussia,Winter,1869-72,1869,1872,199
, ,,,,
