City/Country,Location,Period,Season,SP1K,PC100W
City,Paris,1888-92,Winter,218,100
City,Paris,1888-92,Spring,262,120
City,Paris,1888-92,Summer,277,127
City,Paris,1888-92,Autumn,241,100
Country,France,1835-43,Winter,201,100
Country,France,1835-43,Spring,283,140
Country,France,1835-43,Summer,306,152
Country,France,1835-43,Autumn,210,104
City,Berlin,"1882, 85-87, 89-90",Winter,231,100
City,Berlin,"1882, 85-87, 89-90",Spring,287,124
City,Berlin,"1882, 85-87, 89-90",Summer,248,107
City,Berlin,"1882, 85-87, 89-90",Autumn,232,100.3
City,Hamburg,1887-91,Winter,239,100
City,Hamburg,1887-91,Spring,289,120
City,Hamburg,1887-91,Summer,232,107
City,Hamburg,1887-91,Autumn,258,103
City,Vienna,1871-72,Winter,234,100
City,Vienna,1871-72,Spring,302,129
City,Vienna,1871-72,Summer,211,90
City,Vienna,1871-72,Autumn,253,108
City,Frankfurt,1876-75,Winter,239,100
City,Frankfurt,1876-75,Spring,245,102
City,Frankfurt,1876-75,Summer,278,112
City,Frankfurt,1876-75,Autumn,238,99
City,Geneva,"1838-47, 1852-54",Winter,232,100
City,Geneva,"1838-47, 1852-54",Spring,288,124
City,Geneva,"1838-47, 1852-54",Summer,253,109
City,Geneva,"1838-47, 1852-54",Autumn,227,97
Country,Prussia,1869-72,Winter,199,100
Country,Prussia,1869-72,Spring,284,142
Country,Prussia,1869-72,Summer,290,145
Country,Prussia,1869-72,Autumn,227,114
Country,Austria,1858-59,Winter,185,100
Country,Austria,1858-59,Spring,281,151
Country,Austria,1858-59,Summer,315,168
Country,Austria,1858-59,Autumn,219,118
