Country,Source,Period,Occupation,Motive,PSM100
France,Legoyt,1874-78,Agriculture,"Loss of employment, financial losses, poverty",8.15
France,Legoyt,1874-78,Agriculture,Family troubles,14.45
France,Legoyt,1874-78,Agriculture,"Disappointed love, jealousy",1.48
France,Legoyt,1874-78,Agriculture,Intoxication and drunkenness,13.23
France,Legoyt,1874-78,Agriculture,Suicides of criminals or minor offenders,4.09
France,Legoyt,1874-78,Agriculture,Physical sufferings,15.91
France,Legoyt,1874-78,Agriculture,Mental sickness,35.8
France,Legoyt,1874-78,Agriculture,"Disgust with life, varied disappointments",2.93
France,Legoyt,1874-78,Agriculture,Unknown causes,3.96
France,Legoyt,1874-78,Liberal Professions,"Loss of employment, financial losses, poverty",8.87
France,Legoyt,1874-78,Liberal Professions,Family troubles,13.14
France,Legoyt,1874-78,Liberal Professions,"Disappointed love, jealousy",2.01
France,Legoyt,1874-78,Liberal Professions,Intoxication and drunkenness,6.41
France,Legoyt,1874-78,Liberal Professions,Suicides of criminals or minor offenders,4.73
France,Legoyt,1874-78,Liberal Professions,Physical sufferings,19.89
France,Legoyt,1874-78,Liberal Professions,Mental sickness,34.04
France,Legoyt,1874-78,Liberal Professions,"Disgust with life, varied disappointments",4.94
France,Legoyt,1874-78,Liberal Professions,Unknown causes,5.97
