Country,Period,Period Start,Period End,Religion,SP1M,Source
Austria,1852-59,1852,1859,Protestant,79.5, Wagner
Prussia,1849-55,1849,1855,Protestant,159.9, Id.
Prussia,1869-72,1869,1872,Protestant,187, Morselli
Prussia,1890,1890,1890,Protestant,240, Prinzing
Baden,1852-62,1852,1862,Protestant,139, Legayt
Baden,1870-74,1870,1874,Protestant,171, Morselli
Baden,1878-88,1878,1888,Protestant,242, Prinzing
Bavaria,1844-56,1844,1856,Protestant,135.4, Morselli
Bavaria,1884-91,1884,1891,Protestant,224, Prinzing
Wurttemberg,1846-60,1846,1860,Protestant,113.5, Wagner
Wurttemberg,1873-76,1873,1876,Protestant,190, Durkheim
Wurttemberg,1881-90,1881,1890,Protestant,170, Id.
Austria,1852-59,1852,1859,Catholic,51.3, Wagner
Prussia,1849-55,1849,1855,Catholic,49.6, Id.
Prussia,1869-72,1869,1872,Catholic,69, Morselli
Prussia,1890,1890,1890,Catholic,100, Prinzing
Baden,1852-62,1852,1862,Catholic,117, Legayt
Baden,1870-74,1870,1874,Catholic,136.7, Morselli
Baden,1878-88,1878,1888,Catholic,170, Prinzing
Bavaria,1844-56,1844,1856,Catholic,49.1, Morselli
Bavaria,1884-91,1884,1891,Catholic,94, Prinzing
Wurttemberg,1846-60,1846,1860,Catholic,77.9, Wagner
Wurttemberg,1873-76,1873,1876,Catholic,120, Durkheim
Wurttemberg,1881-90,1881,1890,Catholic,119, Id.
Austria,1852-59,1852,1859,Jewish,20.7, Wagner
Prussia,1849-55,1849,1855,Jewish,46.4, Id.
Prussia,1869-72,1869,1872,Jewish,96, Morselli
Prussia,1890,1890,1890,Jewish,180, Prinzing
Baden,1852-62,1852,1862,Jewish,87, Legayt
Baden,1870-74,1870,1874,Jewish,124, Morselli
Baden,1878-88,1878,1888,Jewish,210, Prinzing
Bavaria,1844-56,1844,1856,Jewish,105.9, Morselli
Bavaria,1883-91,1883,1891,Jewish,193, Prinzing
Wurttemberg,1846-60,1846,1860,Jewish,65.6, Wagner
Wurttemberg,1873-76,1873,1876,Jewish,60, Durkheim
Wurttemberg,1881-90,1881,1890,Jewish,142, Id.
,,,,, ,
