Country,Religion,Language,Region,DS.P1KM,SP1M
Switzerland,Catholic,French & Italian,Tessino,7.6,57
Switzerland,Catholic,French & Italian,Valais,4,47
Switzerland,Catholic,French & Italian,Freiburg,15.9,119
Switzerland,Catholic,German,Uri,NA,60
Switzerland,Catholic,German,Upper Unterwolden,4.9,20
Switzerland,Catholic,German,Lower Unterwolden,5.2,1
Switzerland,Catholic,German,Schwyz,5.6,70
Switzerland,Catholic,German,Solothurn,37.7,205
Switzerland,Catholic,German,Inner Appenzell,18.9,158
Switzerland,Catholic,German,Zug,14.8,87
Switzerland,Catholic,German,Luzern,13,100
Switzerland,Protestant,French,Neufchâtel,42.4,560
Switzerland,Protestant,French,Vaud,43.5,352
Switzerland,Protestant,German,Bern,47.2,229
Switzerland,Protestant,German,Basel (city),34.5,323
Switzerland,Protestant,German,Basel (country),33,288
Switzerland,Protestant,German,Schaffhausen,106,602
Switzerland,Protestant,German,Outer Appenzell,100.7,213
Switzerland,Protestant,German,Glaris,83.1,127
Switzerland,Protestant,German,Zurich,80,288
Switzerland,Mixed,Mixed,Argau,40,195
Switzerland,Mixed,Mixed,Grisons,30.9,116
Switzerland,Mixed,Mixed,Geneva,70.5,360
Switzerland,Mixed,Mixed,Saint Gall,57.6,179
,,, , ,
