Country,Period,Sex,Concept.of.Divorce,Divorce,Marital.Status,Age.Category,SP1M
Italy,1884-88,Male,No,Never,Unmarried,Above 15,145
France,1863-68,Male,No,Never,Unmarried,Above 15,273
Italy,1884-88,Male,No,Never,Married,Above 15,88
France,1863-68,Male,No,Never,Married,Above 15,245.7
Baden,1885-93,Male,Yes,Common,Unmarried,Above 15,458
Prussia,1883-90,Male,Yes,Common,Unmarried,Above 15,388
Prussia,1887-89,Male,Yes,Common,Unmarried,Above 15,364
Baden,1885-93,Male,Yes,Common,Married,Above 15,460
Prussia,1883-90,Male,Yes,Common,Married,Above 15,498
Prussia,1887-89,Male,Yes,Common,Married,Above 15,431
Italy,1884-88,Female,No,Never,Unmarried,Above 16,21
France,1863-68,Female,No,Never,Unmarried,Above 16,59
Italy,1884-88,Female,No,Never,Married,Above 16,22
France,1863-68,Female,No,Never,Married,Above 16,62.5
Baden,1885-93,Female,Yes,Common,Unmarried,Above 16,93
Prussia,1883-90,Female,Yes,Common,Unmarried,Above 16,129
Prussia,1887-89,Female,Yes,Common,Unmarried,Above 16,120
Baden,1885-93,Female,Yes,Common,Married,Above 16,85
Prussia,1883-90,Female,Yes,Common,Married,Above 16,100
Prussia,1887-89,Female,Yes,Common,Married,Above 16,90
