Country,Province,Divorce,DP100KMP,HSPWS
Germany,Berlin,High,From 405 to 810,1.72
Germany,Brandenburg,High,From 405 to 810,1.75
Germany,East Prussia,High,From 405 to 810,1.5
Germany,Saxony,High,From 405 to 810,2.08
Germany,Pomerania,Moderate,From 324 to 371,1
Germany,Silesia,Moderate,From 324 to 371,1.18
Germany,West Prussia,Moderate,From 324 to 371,1
Germany,Schleswig,Moderate,From 324 to 371,1.2
Germany,Posen,Low,From 116 to 229,1
Germany,Hesse,Low,From 116 to 229,1.44
Germany,Hanover,Low,From 116 to 229,0.9
Germany,Rhineland,Low,From 116 to 229,1.25
Germany,Westphalia,Low,From 116 to 229,0.8
, ,,,
