Country,Period,Sex,Marital.Status,PSS100
Italy,1871,Male,Unmarried,87
Italy,1872,Male,Unmarried,82
Italy,1873,Male,Unmarried,86
Italy,1884-88,Male,Unmarried,85
France,1863-66,Male,Unmarried,84
France,1867-71,Male,Unmarried,84
France,1888-91,Male,Unmarried,81
Baden,1869-73,Male,Unmarried,84
Baden,1885-93,Male,Unmarried,84
Prussia,1873-75,Male,Unmarried,78
Prussia,1887-89,Male,Unmarried,77
Saxony,1866-70,Male,Unmarried,77
Saxony,1879-90,Male,Unmarried,80
Italy,1871,Female,Unmarried,13
Italy,1872,Female,Unmarried,18
Italy,1873,Female,Unmarried,14
Italy,1884-88,Female,Unmarried,15
France,1863-66,Female,Unmarried,16
France,1867-71,Female,Unmarried,16
France,1888-91,Female,Unmarried,19
Baden,1869-73,Female,Unmarried,16
Baden,1885-93,Female,Unmarried,16
Prussia,1873-75,Female,Unmarried,22
Prussia,1887-89,Female,Unmarried,23
Saxony,1866-70,Female,Unmarried,23
Saxony,1879-90,Female,Unmarried,20
Italy,1871,Male,Married,79
Italy,1872,Male,Married,78
Italy,1873,Male,Married,79
Italy,1884-88,Male,Married,79
France,1863-66,Male,Married,78
France,1867-71,Male,Married,79
France,1888-91,Male,Married,81
Baden,1869-73,Male,Married,85
Baden,1885-93,Male,Married,85
Prussia,1873-75,Male,Married,83
Prussia,1887-89,Male,Married,83
Saxony,1866-70,Male,Married,84
Saxony,1879-90,Male,Married,86
Italy,1871,Female,Married,21
Italy,1872,Female,Married,22
Italy,1873,Female,Married,21
Italy,1884-88,Female,Married,21
France,1863-66,Female,Married,22
France,1867-71,Female,Married,21
France,1888-91,Female,Married,19
Baden,1869-73,Female,Married,15
Baden,1885-93,Female,Married,15
Prussia,1873-75,Female,Married,17
Prussia,1887-89,Female,Married,17
Saxony,1866-70,Female,Married,16
Saxony,1879-90,Female,Married,14
,,,,
,,,,
,,,,
,,,, 
