Country,Year,Suicide.Type,PS1KS
France,1872,Strangulation & Hanging,426
France,1873,Strangulation & Hanging,430
France,1874,Strangulation & Hanging,440
France,1875,Strangulation & Hanging,446
Prussia,1872,Strangulation & Hanging,610
Prussia,1873,Strangulation & Hanging,597
Prussia,1874,Strangulation & Hanging,610
Prussia,1875,Strangulation & Hanging,615
England,1872,Strangulation & Hanging,374
England,1873,Strangulation & Hanging,366
England,1874,Strangulation & Hanging,374
England,1875,Strangulation & Hanging,362
Italy,1874,Strangulation & Hanging,174
Italy,1875,Strangulation & Hanging,173
Italy,1876,Strangulation & Hanging,125
Italy,1877,Strangulation & Hanging,176
France,1872,Drowning,269
France,1873,Drowning,298
France,1874,Drowning,269
France,1875,Drowning,294
Prussia,1872,Drowning,197
Prussia,1873,Drowning,217
Prussia,1874,Drowning,162
Prussia,1875,Drowning,170
England,1872,Drowning,221
England,1873,Drowning,218
England,1874,Drowning,176
England,1875,Drowning,208
Italy,1874,Drowning,305
Italy,1875,Drowning,273
Italy,1876,Drowning,246
Italy,1877,Drowning,299
France,1872,Firearms,103
France,1873,Firearms,106
France,1874,Firearms,122
France,1875,Firearms,107
Prussia,1872,Firearms,102
Prussia,1873,Firearms,95
Prussia,1874,Firearms,126
Prussia,1875,Firearms,105
England,1872,Firearms,38
England,1873,Firearms,44
England,1874,Firearms,58
England,1875,Firearms,45
Italy,1874,Firearms,236
Italy,1875,Firearms,251
Italy,1876,Firearms,285
Italy,1877,Firearms,238
France,1872,Falling to Death,28
France,1873,Falling to Death,30
France,1874,Falling to Death,28
France,1875,Falling to Death,31
Prussia,1872,Falling to Death,6.9
Prussia,1873,Falling to Death,8.4
Prussia,1874,Falling to Death,9.1
Prussia,1875,Falling to Death,9.5
England,1872,Falling to Death,30
England,1873,Falling to Death,20
England,1874,Falling to Death,20
England,1875,Falling to Death,NA
Italy,1874,Falling to Death,106
Italy,1875,Falling to Death,104
Italy,1876,Falling to Death,113
Italy,1877,Falling to Death,111
France,1872,Poison,20
France,1873,Poison,21
France,1874,Poison,23
France,1875,Poison,19
Prussia,1872,Poison,25
Prussia,1873,Poison,25
Prussia,1874,Poison,28
Prussia,1875,Poison,35
England,1872,Poison,91
England,1873,Poison,97
England,1874,Poison,94
England,1875,Poison,97
Italy,1874,Poison,60
Italy,1875,Poison,62
Italy,1876,Poison,69
Italy,1877,Poison,55
France,1872,Asphyxiation,69
France,1873,Asphyxiation,67
France,1874,Asphyxiation,72
France,1875,Asphyxiation,63
Prussia,1872,Asphyxiation,3
Prussia,1873,Asphyxiation,4.6
Prussia,1874,Asphyxiation,6.5
Prussia,1875,Asphyxiation,7.7
England,1872,Asphyxiation,NA
England,1873,Asphyxiation,NA
England,1874,Asphyxiation,NA
England,1875,Asphyxiation,NA
Italy,1874,Asphyxiation,13.7
Italy,1875,Asphyxiation,31.4
Italy,1876,Asphyxiation,29
Italy,1877,Asphyxiation,22
