Country,Period,Month,Suicide.Type,PS1KS
France,1872-78,January,Drowning,73.5
France,1872-78,February,Drowning,67
France,1872-78,March,Drowning,81.9
France,1872-78,April,Drowning,94.4
France,1872-78,May,Drowning,106.4
France,1872-78,June,Drowning,117.3
France,1872-78,July,Drowning,107.7
France,1872-78,August,Drowning,91.2
France,1872-78,September,Drowning,71
France,1872-78,October,Drowning,74.3
France,1872-78,November,Drowning,61
France,1872-78,December,Drowning,54.2
France,1872-78,January,All,75.8
France,1872-78,February,All,66.5
France,1872-78,March,All,84.8
France,1872-78,April,All,97.3
France,1872-78,May,All,103.1
France,1872-78,June,All,109.9
France,1872-78,July,All,103.5
France,1872-78,August,All,86.3
France,1872-78,September,All,74.3
France,1872-78,October,All,74.1
France,1872-78,November,All,65.2
France,1872-78,December,All,59.2
