Country,Religion,Homicide.Type,HP1M
Italy,Catholic,Premeditated,23.1
Spain,Catholic,Premeditated,8.2
Hungary,Catholic,Premeditated,11.9
Austria,Catholic,Premeditated,8.7
Ireland,Catholic,Premeditated,2.3
Belgium,Catholic,Premeditated,4.2
France,Catholic,Premeditated,5.6
Italy,Catholic,Simple,70
Spain,Catholic,Simple,64.9
Hungary,Catholic,Simple,56.2
Austria,Catholic,Simple,10.2
Ireland,Catholic,Simple,8.1
Belgium,Catholic,Simple,8.5
France,Catholic,Simple,6.4
Germany,Protestant,Premeditated,3.3
England,Protestant,Premeditated,1.7
Denmark,Protestant,Premeditated,3.7
Holland,Protestant,Premeditated,2.5
Scotland,Protestant,Premeditated,0.7
Germany,Protestant,Simple,3.4
England,Protestant,Simple,3.9
Denmark,Protestant,Simple,4.6
Holland,Protestant,Simple,3.1
Scotland,Protestant,Simple,4.4
,,, 
